ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000185,.jpg,恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角,克里斯托弗·史密斯 Christopher Smith   ,梅利莎·乔治 Melissa ...,2009 , 英国 澳大利亚 , 剧情 悬疑 惊悚,8.4,391719人
000186,.jpg,一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港),汉内斯·赫尔姆 Hannes Holm   ,罗夫·拉斯加德 Rolf Lassgård...,2015 , 瑞典 , 剧情,8.8,157985人
000187,.jpg,可可西里,,Kekexili: Mountain Patrol,陆川 Chuan Lu   ,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004 , 中国大陆 香港 , 剧情 犯罪,8.7,152283人
000188,.jpg,忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事,Seijirô Kôyama   ,山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987 , 日本 , 剧情,9.1,77822人
000189,.jpg,魔女宅急便,魔女の宅急便,魔女琪琪(台)  /  小魔女限时专送,宫崎骏 Hayao Miyazaki   ,高山南 Minami Takayama / 佐久间玲 Re...,1989 , 日本 , 动画 奇幻 冒险,8.5,236394人
000190,.jpg,战争之王,Lord of War,军火之王(台 / 港),安德鲁·尼科尔 Andrew Niccol   ,尼古拉斯·凯奇 Nicolas Cage /...,2005 , 美国 法国 , 剧情 犯罪,8.6,199929人
000191,.jpg,一次别离,جدایی نادر از سیمین,分居风暴(台)  /  伊朗式分居(港),阿斯哈·法哈蒂  Asghar Farhadi   ,佩曼·莫阿迪 Peyman Moadi /...,2011 , 伊朗 法国 , 剧情 家庭,8.7,152593人
000192,.jpg,哪吒闹海,,Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,严定宪 Dingxian Yan / 王树忱 Shuchen Wang   ,梁正晖 Zhenghui ...,1979 , 中国大陆 , 冒险 动画 奇幻,8.9,101191人
000193,.jpg,完美陌生人,Perfetti sconosciuti,完美谎情(港)  /  波动的信息分享,保罗·格诺维瑟 Paolo Genovese   ,马可·贾利尼 Marco Giallini ...,2016 , 意大利 , 剧情 喜剧,8.6,260579人
000194,.jpg,谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台),道格·里曼 Doug Liman   ,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002 , 美国 德国 捷克 , 动作 悬疑 惊悚,8.5,227964人
000195,.jpg,追随,Following,跟踪(台)  /  致命追踪,克里斯托弗·诺兰 Christopher Nolan   ,杰里米·西奥伯德 Jeremy...,1998 , 英国 , 犯罪 悬疑 惊悚,8.9,95740人
000196,.jpg,谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2004 , 美国 德国 , 动作 悬疑 惊悚,8.6,189976人
000197,.jpg,地球上的星星,Taare Zameen Par,心中的小星星(台)  /  每一个孩子都是特别的,阿米尔·汗 Aamir Khan   ,达席尔·萨法瑞 Darsheel Safary / 阿...,2007 , 印度 , 剧情 儿童 家庭,8.9,102225人
