ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000117,.jpg,菊次郎的夏天,菊次郎の夏,Kikujirô no natsu  /  菊次郎的夏天,北野武 Takeshi Kitano   ,北野武 Takeshi Kitano / 关口雄介 Yus...,1999 , 日本 , 剧情 喜剧,8.8,234078人
000118,.jpg,驯龙高手,How to Train Your Dragon,驯龙记(港),迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   ,主演:...,2010 , 美国 , 喜剧 动画 奇幻 冒险,8.7,354219人
000119,.jpg,幸福终点站,The Terminal,机场客运站(港)  /  航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,2004 , 美国 , 喜剧 剧情 爱情,8.7,270037人
000120,.jpg,神偷奶爸,Despicable Me,卑鄙的我  /  坏蛋奖门人(港),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   ,...,2010 , 美国 法国 , 喜剧 动画 冒险,8.5,478080人
000121,.jpg,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),米林宏昌 Hiromasa Yonebayashi   ,志田未来 Mirai Shida / 神木...,2010 , 日本 , 动画 奇幻 冒险,8.7,264195人
000122,.jpg,杀人回忆,살인의 추억,谋杀回忆  /  杀手回忆录,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003 , 韩国 , 犯罪 剧情 悬疑 惊悚,8.7,255428人
000123,.jpg,请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台),卢卡·圭达尼诺 Luca Guadagnino   ,蒂莫西·柴勒梅德 Timothée ...,2017 , 意大利 法国 巴西 美国 , 剧情 爱情 同性,8.8,247015人
000124,.jpg,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台),大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011 , 美国 英国 , 剧情 悬疑 奇幻 冒险,8.7,342748人
000125,.jpg,七武士,七人の侍,七侠四义(港)  /  The Seven Samurai,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 志村乔 ...,1954 , 日本 , 动作 冒险 剧情,9.2,95248人
000126,.jpg,岁月神偷,歲月神偷,1969太空漫游  /  Echoes Of The Rainbow,罗启锐 Alex Law   ,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010 , 香港 中国大陆 , 剧情 家庭,8.6,355013人
000127,.jpg,小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台),森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015 , 日本 , 剧情,9.0,156728人
000128,.jpg,怪兽电力公司,Monsters Inc.,怪兽公司(港)  /  怪物公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   ,约...,2001 , 美国 , 儿童 喜剧 动画 奇幻 冒险,8.6,304583人
000129,.jpg,萤火虫之墓,火垂るの墓,再见萤火虫(港)  /  萤火挽歌,高畑勋 Isao Takahata   ,辰己努 / 白石绫乃 / 志乃原良子,1988 , 日本 , 动画 剧情 战争,8.7,241131人
000130,.jpg,谍影重重3,The Bourne Ultimatum,叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2007 , 美国 德国 , 动作 悬疑 惊悚,8.7,220107人
000131,.jpg,电锯惊魂,Saw,夺魂锯(台)  /  恐惧斗室(港),詹姆斯·温 James Wan   ,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004 , 美国 , 悬疑 惊悚 恐怖,8.7,240253人
000132,.jpg,7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物,李焕庆 Hwan-kyeong Lee   ,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013 , 韩国 , 剧情 喜剧 家庭,8.7,224136人
000133,.jpg,东邪西毒,東邪西毒,Ashes of Time,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994 , 香港 台湾 , 剧情 动作 爱情 武侠 古装,8.6,309515人
000134,.jpg,喜宴,囍宴,The Wedding Banquet,李安 Ang Lee   ,赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993 , 台湾 美国 , 剧情 喜剧 爱情 同性 家庭,8.8,169612人
000135,.jpg,疯狂原始人,The Croods,古鲁家族(港 / 台),科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   ,主演...,2013 , 美国 , 喜剧 动画 冒险,8.7,445214人
000136,.jpg,贫民窟的百万富翁,Slumdog Millionaire,贫民百万富翁(台)  /  一百万零一夜(港),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   ,戴夫...,2008 , 英国 美国 , 剧情 爱情,8.5,451405人
000137,.jpg,萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e,大森贵弘 Takahiro Omori   ,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011 , 日本 , 剧情 爱情 动画 奇幻,8.8,206878人
000138,.jpg,记忆碎片,Memento,失忆  /  记忆拼图(台),克里斯托弗·诺兰 Christopher Nolan   ,盖·皮尔斯 Guy Pearce /...,2000 , 美国 , 犯罪 剧情 悬疑 惊悚,8.6,330919人
